sex,age,mu,sigma,nu,tau
men,50,128.173907954462,0.130556882448987,-0.908149974130219,1.57656410132336
women,50,123.358128175501,0.140467948315874,-0.861228475855101,1.64151214819747
men,51,128.617759401269,0.132753431600306,-0.934307434556968,1.58380678100671
women,51,123.907961623743,0.141419799580759,-0.861898908167377,1.63850189485517
men,52,129.05428885612,0.134867209700103,-0.961103640149994,1.59126909258542
women,52,124.448495617454,0.142311324478594,-0.872229064637574,1.6357840952114
men,53,129.480857345097,0.13685653078923,-0.985816633634466,1.59892973585151
women,53,124.981066917464,0.143151695605368,-0.892366476758764,1.63334314431094
men,54,129.894708789354,0.138690836584922,-1.00634498859231,1.60677017558859
women,54,125.506619155387,0.143949226446082,-0.920645691613157,1.63123468495905
men,55,130.293035215878,0.140342046264484,-1.02074241132082,1.61477232026166
women,55,126.026009611268,0.144712187378381,-0.954948010181262,1.62953198383705
men,56,130.673231750371,0.14178458169597,-1.02721415343178,1.62291830779614
women,56,126.540235449784,0.14544858601962,-0.993009518115307,1.62831097256226
men,57,131.034783810206,0.14301900391301,-1.02534793475468,1.63119525377079
women,57,127.051439266141,0.146162195569911,-1.0312415780455,1.62767242592718
men,58,131.378313726033,0.144061084131504,-1.01547112652845,1.63959287837107
women,58,127.56240513678,0.146854504005355,-1.06534679615479,1.62773072741777
men,59,131.704487741483,0.144928642996069,-0.997942877715844,1.64810059027124
women,59,128.075952122036,0.147526924567089,-1.09105578572896,1.62860313051145
men,60,132.014445010583,0.145652947653252,-0.973774938148395,1.65670433853231
women,60,128.594515582488,0.148178347791962,-1.10501310592641,1.63045896742908
men,61,132.309836514179,0.146279660709066,-0.944681122476655,1.66538627412897
women,61,129.120106616675,0.148804889720536,-1.10484653439914,1.63352459344796
men,62,132.592359159876,0.14685616298557,-0.912408976279496,1.67412802036698
women,62,129.654738829116,0.149402484563725,-1.08823875879616,1.63803296601271
men,63,132.863817905107,0.147424541687419,-0.878521406301393,1.68291646669715
women,63,130.199031170171,0.149967887381159,-1.05408585913427,1.64418913917192
men,64,133.126229956917,0.14801407056536,-0.844178485941922,1.69175063529032
women,64,130.750483938629,0.150499723319506,-1.0039312181782,1.65213145819797
men,65,133.381656731615,0.148652711600972,-0.810487168635848,1.70063116944157
women,65,131.30614054528,0.150996876123904,-0.939667307520982,1.66199630365197
men,66,133.631952254878,0.149366447761427,-0.778211594202498,1.70955788640896
women,66,131.862961609171,0.151459314743573,-0.863484233734127,1.67389464273297
men,67,133.877918787305,0.150169983768327,-0.746493301222323,1.71852661902872
women,67,132.417703252921,0.151892121748572,-0.778980865617814,1.68778221342595
men,68,134.120049322046,0.151074938163998,-0.713994233224726,1.72753192736388
women,68,132.967022012929,0.152301968269367,-0.690172462256689,1.70357004301155
men,69,134.358971004313,0.152091944707967,-0.679388443732795,1.73656809670324
women,69,133.507611291978,0.15269585078264,-0.600984696763111,1.72116761752061
men,70,134.596759867506,0.153216245780789,-0.6414849578427,1.74562753513998
women,70,134.037125472279,0.153083487280399,-0.514349941951895,1.74044920203998
men,71,134.83640740653,0.154433161326037,-0.59917682687758,1.75470139318125
women,71,134.553818542126,0.153476345746509,-0.432582193943244,1.7612640529631
men,72,135.080935170988,0.155727285813967,-0.551376683041215,1.76378053854094
women,72,135.055967168307,0.153885956503908,-0.35795092200195,1.78345689689334
men,73,135.33321096515,0.157074610808832,-0.497646069516326,1.77285267197659
women,73,135.54304851062,0.154321090569036,-0.291478749549184,1.80690362613308
men,74,135.595905288201,0.158440071199817,-0.438354780048224,1.78190151516368
women,74,136.016063720982,0.154787021815754,-0.232635292101039,1.83152193920592
men,75,135.871696293085,0.159786737572498,-0.373923757083584,1.79091024965174
women,75,136.476131114059,0.15528887084199,-0.180791470476688,1.85722824257185
men,76,136.162863645193,0.161081701511736,-0.304983981585016,1.79986844889912
women,76,136.924539357349,0.155830051663621,-0.134735461360878,1.88394280865304
men,77,136.470626685922,0.162304625207246,-0.232703312744846,1.80878274770784
women,77,137.362981699485,0.156409451335933,-0.0917658926318099,1.91160355892686
men,78,136.796049570502,0.163436835009336,-0.158334164481562,1.8176626664645
women,78,137.793237484051,0.157025236318371,-0.0489467981687318,1.94014788333643
men,79,137.13965476809,0.164464104781907,-0.0830059439289807,1.82651837726254
women,79,138.217077130185,0.157675057730671,-0.00371673997830668,1.96951170488258
men,80,137.498840233649,0.165399065092564,-0.00715787117225852,1.8353627702047
women,80,138.636102727682,0.158353690201799,0.0443842551532365,1.99964274623169
men,81,137.869885452659,0.16626430288316,0.0690113951274726,1.84420987400863
women,81,139.0518699868,0.159054830580066,0.0950837048224272,2.03049064986505
men,82,138.249119734303,0.167082527503414,0.145311613642925,1.85307364111616
women,82,139.465912839752,0.15977221308721,0.148094641368444,2.062002307601
men,83,138.634041898164,0.167870082935218,0.221663891595919,1.86196342669262
women,83,139.879220379792,0.160501433212079,0.202942932171601,2.0941346012496
men,84,139.022999155241,0.168638657627283,0.298069795678355,1.87088523106068
women,84,140.292385219399,0.161239437915951,0.259019200834029,2.12685135581258
