sex,age,mu,sigma,nu,tau
men,43,12.9029723712416,0.385794789986104,0.429358270446855,1.90394202180981
women,43,10.1393720453699,0.386107364582601,0.432315282123357,1.84828554904934
men,44,12.84790334718,0.384023801384985,0.426528282018209,1.90726247120073
women,44,10.1128314087645,0.383864005042218,0.43648527131636,1.85762460419707
men,45,12.7916508709493,0.383100700756924,0.423373186787333,1.9079465480079
women,45,10.085241878637,0.382472060138984,0.440330153707132,1.86442894857303
men,46,12.7358735972097,0.382404669674025,0.419874287711434,1.90578712848443
women,46,10.0579083947395,0.3813093692305,0.44383123225288,1.86847015801848
men,47,12.68166705132,0.381391123676081,0.41602130743253,1.9006707991334
women,47,10.0316991074113,0.37983273589245,0.446978229595625,1.86960913621315
men,48,12.6296135368894,0.379586326848687,0.411811795069205,1.8925735136574
women,48,10.0070812662321,0.377572096614445,0.449768694853948,1.8677933277755
men,49,12.5802651951129,0.376540302037102,0.407243584971232,1.88149062802875
women,49,9.98450126058682,0.374083298377248,0.452200462377622,1.86298888476904
men,50,12.5339076317197,0.372744368084205,0.402313242981805,1.86763166694531
women,50,9.96419652233821,0.369858380141852,0.454270098009844,1.85537446855977
men,51,12.4903413660761,0.370378786057128,0.397014964002875,1.85158332891254
women,51,9.94601975058609,0.367060792352977,0.455971796652561,1.8455072322832
men,52,12.4493184917556,0.371768249598366,0.391342683035251,1.83396330885766
women,52,9.92978400466097,0.367986351674426,0.457299493306585,1.83398287012888
men,53,12.4104951995317,0.37840404265863,0.385288410277013,1.81531685327927
women,53,9.91522444855912,0.374095688606354,0.458245198169996,1.82133240442069
men,54,12.3731323830517,0.388153811937812,0.378836456715322,1.79594922007195
women,54,9.90175811649169,0.383264250719519,0.458793222229953,1.80785240114154
men,55,12.3364005037488,0.397772000868228,0.371969208534791,1.77610021206028
women,55,9.88872566029506,0.392280018540502,0.458925951671069,1.79377730989839
men,56,12.299531267489,0.403930341932434,0.364669580061418,1.75599748493133
women,56,9.87551251641094,0.397865219067956,0.458626300819344,1.77933242161912
men,57,12.2622319431644,0.405217246570281,0.356925303578416,1.7358311664959
women,57,9.86188251032126,0.398643732198597,0.45788200195799,1.76470788845925
