"DisMod II input and output, database Brazil","","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 10/01/2019, 10:00:46","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"64","0.0042","0.0949","0.0000","0.0011","0.0042","0.0503","0.0000","0.0218","14.8548","0.0011","3.0225","64.5000"
"65","0.0045","0.0983","0.0000","0.0012","0.0046","0.0537","0.0000","0.0224","14.3252","0.0012","2.9067","65.5000"
"66","0.0049","0.1016","0.0000","0.0013","0.0049","0.0573","0.0000","0.0231","13.8005","0.0013","2.7934","66.5000"
"67","0.0052","0.1049","0.0000","0.0015","0.0053","0.0611","0.0000","0.0239","13.2836","0.0015","2.6803","67.5000"
"68","0.0056","0.1081","0.0000","0.0016","0.0056","0.0651","0.0000","0.0249","12.7776","0.0016","2.5662","68.5000"
"69","0.0060","0.1112","0.0000","0.0018","0.0061","0.0693","0.0000","0.0259","12.2846","0.0018","2.4586","69.5000"
"70","0.0065","0.1142","0.0000","0.0020","0.0065","0.0738","0.0000","0.0268","11.8041","0.0020","2.3647","70.5000"
"71","0.0070","0.1172","0.0000","0.0022","0.0071","0.0786","0.0000","0.0276","11.3317","0.0022","2.2892","71.5000"
"72","0.0076","0.1200","0.0000","0.0023","0.0077","0.0838","0.0000","0.0280","10.8589","0.0023","2.2373","72.5000"
"73","0.0083","0.1228","0.0000","0.0025","0.0084","0.0894","0.0000","0.0281","10.3747","0.0025","2.2078","73.5000"
"74","0.0090","0.1254","0.0000","0.0027","0.0091","0.0954","0.0000","0.0280","9.8709","0.0027","2.1709","74.5000"
"75","0.0097","0.1280","0.0000","0.0028","0.0097","0.1020","0.0000","0.0278","9.3490","0.0028","2.0994","75.5000"
"76","0.0103","0.1304","0.0000","0.0031","0.0103","0.1089","0.0000","0.0282","8.8224","0.0031","1.9821","76.5000"
"77","0.0110","0.1327","0.0000","0.0035","0.0110","0.1161","0.0000","0.0298","8.3208","0.0035","1.8240","77.5000"
"78","0.0121","0.1349","0.0000","0.0041","0.0122","0.1236","0.0000","0.0333","7.8975","0.0041","1.6548","78.5000"
"79","0.0147","0.1370","0.0000","0.0052","0.0148","0.1319","0.0000","0.0394","7.6194","0.0052","1.5435","79.5000"
"80+","0.0209","0.1391","0.0000","0.0068","0.0208","0.1428","0.0000","0.0478","7.5238","0.0068","1.5204","90.0039"
"","","","","","","","","","","","",""
"All ages","NA","0.0303","NA","0.0004","0.0016","0.0192","0.0000","0.0216","16.5094","0.0004","11.1184","67.1313"
