"DisMod II input and output, database Brazil","","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 10/01/2019, 09:57:40","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"62","0.0031123586","0.0304037760","0.0000000000","0.0008011579","0.0031019949","0.0324503954","0.0000000000","0.0246858313","14.2880958529","0.0008011959","3.6695994013","62.5000000000"
"63","0.0033464930","0.0321720511","0.0000000000","0.0008786282","0.0033318994","0.0349706261","0.0000000000","0.0251221742","13.7602928990","0.0008786835","3.5180086250","63.5000000000"
"64","0.0035930604","0.0339759897","0.0000000000","0.0009660395","0.0035733214","0.0376475986","0.0000000000","0.0256578332","13.2305948880","0.0009661177","3.3755223347","64.5000000000"
"65","0.0038485085","0.0358089895","0.0000000000","0.0010651946","0.0038226972","0.0404795149","0.0000000000","0.0263126297","12.7004249544","0.0010653034","3.2386462215","65.5000000000"
"66","0.0041100517","0.0376639896","0.0000000000","0.0011782130","0.0040771288","0.0434594146","0.0000000000","0.0271094014","12.1716692622","0.0011783613","3.1046096862","66.5000000000"
"67","0.0043769004","0.0395335749","0.0000000000","0.0013074505","0.0043358464","0.0465762744","0.0000000000","0.0280705910","11.6467392340","0.0013076511","2.9710034966","67.5000000000"
"68","0.0046512512","0.0414100918","0.0000000000","0.0014552774","0.0046009831","0.0498173229","0.0000000000","0.0292125572","11.1284472662","0.0014555477","2.8389426853","68.5000000000"
"69","0.0049385728","0.0432857725","0.0000000000","0.0016236808","0.0048778011","0.0531711132","0.0000000000","0.0305382502","10.6190874675","0.0016240428","2.7214183833","69.5000000000"
"70","0.0052467103","0.0451528628","0.0000000000","0.0018137204","0.0051737707","0.0566306879","0.0000000000","0.0320297877","10.1191840472","0.0018141985","2.6302064025","70.5000000000"
"71","0.0055834832","0.0470037502","0.0000000000","0.0020249907","0.0054962535","0.0601956886","0.0000000000","0.0336443632","9.6266606094","0.0020256214","2.5738790556","71.5000000000"
"72","0.0059528684","0.0488310862","0.0000000000","0.0022554602","0.0058485289","0.0638718187","0.0000000000","0.0353183708","9.1362828628","0.0022562774","2.5605445154","72.5000000000"
"73","0.0063506402","0.0506279003","0.0000000000","0.0025023806","0.0062260840","0.0676663529","0.0000000000","0.0369896069","8.6403472812","0.0025034396","2.5897270095","73.5000000000"
"74","0.0067615675","0.0523877008","0.0000000000","0.0027654131","0.0066136307","0.0715787054","0.0000000000","0.0386457504","8.1330135408","0.0027667634","2.6184552821","74.5000000000"
"75","0.0071620137","0.0541045602","0.0000000000","0.0030537015","0.0069886172","0.0755866162","0.0000000000","0.0404147972","7.6148760186","0.0030554333","2.5955316448","75.5000000000"
"76","0.0075340264","0.0557731828","0.0000000000","0.0033992914","0.0073344307","0.0796307654","0.0000000000","0.0427074517","7.0952392872","0.0034015123","2.4847926949","76.5000000000"
"77","0.0078996084","0.0573889542","0.0000000000","0.0038799972","0.0076727558","0.0836037267","0.0000000000","0.0464362157","6.5966887430","0.0038830151","2.2825324604","77.5000000000"
"78","0.0083864867","0.0589479705","0.0000000000","0.0046553687","0.0081251415","0.0873548438","0.0000000000","0.0533327024","6.1633942110","0.0046597908","2.0471638750","78.5000000000"
"79","0.0093387038","0.0604470505","0.0000000000","0.0060195741","0.0090116530","0.0907268462","0.0000000000","0.0664170614","5.8586609036","0.0060270157","1.9164847714","79.5000000000"
"80+","0.0114856619","0.0618837295","0.0000000000","0.0084743593","0.0109924918","0.0936426131","0.0000000000","0.0906346484","5.7452193114","0.0084891012","1.9861001745","90.0038667569"
"","","","","","","","","","","","",""
"All ages","NA","0.0097519836","NA","0.0004442904","0.0011075830","0.0110789506","0.0000000000","0.0401396659","13.3636121289","0.0004447291","76.7015281399","66.8240346610"
