year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2012,75-79,2,1,2,479.751420386467,366119.824082597,0.00131036723178976
2012,75-79,2,2,1,2491.06097466352,226064.058520344,0.0110192703385414
2012,75-79,2,2,2,1389.47306080176,734608.179866882,0.00189144784782215
2012,80+,1,1,1,3550.83709106033,264700.501921012,0.0134145461202031
2012,80+,1,1,2,952.694841597146,279421.122961396,0.00340953050184673
2012,80+,1,2,1,4507.00777711748,179705.851732599,0.0250799166174281
2012,80+,1,2,2,3454.16246209464,506366.523384993,0.00682146686752517
2012,80+,2,1,1,4171.99190584653,393571.327130956,0.0106003451426693
2012,80+,2,1,2,796.783102334991,348309.511496807,0.00228757204737516
2012,80+,2,2,1,6827.59868933768,354113.247545834,0.0192808338480869
2012,80+,2,2,2,3698.01530213704,877882.913826404,0.00421242428106796
2013,00-04,1,1,1,6.6779333655239,4013423.25385099,1.66389960468691e-06
2013,00-04,1,1,2,0,0,0
2013,00-04,1,2,1,3.33896668276195,3435913.74614902,9.71784197581873e-07
2013,00-04,1,2,2,0,0,0
2013,00-04,2,1,1,4.00197695055377,3780602.2957252,1.05855539343e-06
2013,00-04,2,1,2,0,0,0
2013,00-04,2,2,1,0,3337230.7042748,0
2013,00-04,2,2,2,0,0,0
2013,05-09,1,1,1,3.00507001448576,4485349.25695625,6.69974586666856e-07
2013,05-09,1,1,2,0,76413.7882661073,0
2013,05-09,1,2,1,1.00169000482859,3151177.21836617,3.17878029515567e-07
2013,05-09,1,2,2,0,51738.7364114646,0
2013,05-09,2,1,1,0,4235030.21736953,0
2013,05-09,2,1,2,0,71511.2129642325,0
2013,05-09,2,2,1,0,3079923.86745699,0
2013,05-09,2,2,2,0,52000.7022092484,0
2013,10-14,1,1,1,8.7420218603222,1610426.39164686,5.4283895902764e-06
2013,10-14,1,1,2,0,3544601.62770018,0
2013,10-14,1,2,1,3.27825819762082,784125.536423815,4.18078234331211e-06
2013,10-14,1,2,2,0,2466711.44422914,0
2013,10-14,2,1,1,5.55830132021357,1227715.00086802,4.52735473321066e-06
2013,10-14,2,1,2,0,3694516.7067448,0
2013,10-14,2,2,1,4.44664105617086,666294.76641662,6.67368450165864e-06
2013,10-14,2,2,2,0,2500933.52597056,0
2013,15-19,1,1,1,7.63149554245824,284445.839964466,2.6829344888333e-05
2013,15-19,1,1,2,42.5183323079816,5062169.83103143,8.39923071077968e-06
2013,15-19,1,2,1,12.5740093152706,121786.960904223,0.000103245940467791
2013,15-19,1,2,2,31.4350232881766,3335807.36809988,9.42351275699782e-06
2013,15-19,2,1,1,3.93765946384844,174849.463656229,2.25202833426488e-05
2013,15-19,2,1,2,15.7506378553938,4911826.79054994,3.20667615676047e-06
2013,15-19,2,2,1,1.33229079603895,93689.287820228,1.42203108491481e-05
2013,15-19,2,2,2,7.99374477623368,3418233.4579736,2.33856021670695e-06
2013,20-24,1,1,1,24.8565506714563,177869.555627166,0.000139745953622093
2013,20-24,1,1,2,89.9570405252704,4881068.49548162,1.8429784504877e-05
2013,20-24,1,2,1,8.96031994789269,73734.7026361769,0.000121521069829289
2013,20-24,1,2,2,51.521839700383,3482229.24625504,1.47956484357807e-05
2013,20-24,2,1,1,4.92551009298926,120018.307422624,4.1039656355467e-05
2013,20-24,2,1,2,20.9334178952044,4782388.82023985,4.37718861473804e-06
2013,20-24,2,2,1,3.72965307522023,59722.6205168529,6.24495884966698e-05
2013,20-24,2,2,2,12.4321769174008,3618187.25182068,3.43602363618546e-06
2013,25-29,1,1,1,48.7685523346828,204272.069197908,0.000238743125901534
2013,25-29,1,1,2,114.189781076331,4763947.02213314,2.39695740833827e-05
