year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2014,05-09,2,1,1,10.6686089249466,4231141.79877147,2.5214491577768e-06
2014,05-09,2,1,2,0,76189.3508901524,0
2014,05-09,2,2,1,5.33430446247328,2988756.76677661,1.78479042582858e-06
2014,05-09,2,2,2,0,55408.0835617713,0
2014,10-14,1,1,1,35.6664256447337,1530570.9827441,2.33026929471698e-05
2014,10-14,1,1,2,0,3589174.96591476,0
2014,10-14,1,2,1,20.3808146541335,732768.905665744,2.78134272572837e-05
2014,10-14,1,2,2,0,2372280.1456754,0
2014,10-14,2,1,1,14.4026220486779,1170237.93959458,1.23074304475785e-05
2014,10-14,2,1,2,0,3718437.68530758,0
2014,10-14,2,2,1,21.6039330730168,624049.983700288,3.46189145698183e-05
2014,10-14,2,2,2,0,2394463.39139755,0
2014,15-19,1,1,1,12.0013178457304,263018.995528731,4.56290916236103e-05
2014,15-19,1,1,2,46.671791622285,5182285.79580929,9.006024264433e-06
2014,15-19,1,2,1,6.32253334784648,112608.903838836,5.61459452344478e-05
2014,15-19,1,2,2,29.0836534000938,3271155.30482315,8.89094240105674e-06
2014,15-19,2,1,1,7.94550245109656,161855.698103906,4.90900384983407e-05
2014,15-19,2,1,2,26.4850081703219,5006288.40199888,5.29034806699253e-06
2014,15-19,2,2,1,8.83023871540688,86681.9902082337,0.000101869358262244
2014,15-19,2,2,2,27.7521788198502,3340193.90968898,8.30855320685088e-06
2014,20-24,1,1,1,17.7762365420837,161328.550233969,0.000110186551086609
2014,20-24,1,1,2,58.4076343525609,4959344.90226595,1.17772882313295e-05
2014,20-24,1,2,1,8.34891735831721,66847.0839544922,0.000124895760060393
2014,20-24,1,2,2,37.5701281124275,3395837.46354559,1.10635825523877e-05
2014,20-24,2,1,1,11.9218132657397,109245.98423152,0.000109128160175429
2014,20-24,2,1,2,41.0640234708811,4856229.70527499,8.45594750723509e-06
2014,20-24,2,2,1,6.43399446087537,54357.9266034133,0.000118363500282429
2014,20-24,2,2,2,29.5963745200267,3521593.38389008,8.40425662298738e-06
2014,25-29,1,1,1,27.2955027927672,182690.09531335,0.000149408771975021
2014,25-29,1,1,2,91.4399343557702,4860395.40644777,1.88132706722722e-05
2014,25-29,1,2,1,17.8877143362355,76485.7324972301,0.000233869948710804
2014,25-29,1,2,2,60.5430331380278,3531612.76574165,1.7143168618407e-05
2014,25-29,2,1,1,17.9823678308115,127297.400046846,0.000141262648131022
2014,25-29,2,1,2,82.7188920217328,4857955.99408117,1.70275095374507e-05
2014,25-29,2,2,1,10.8808564671181,61339.4745326747,0.000177387506984952
2014,25-29,2,2,2,60.4492025951008,3693569.13133931,1.63660677370837e-05
2014,30-34,1,1,1,89.3049149106498,246380.707592049,0.000362467158177492
2014,30-34,1,1,2,123.960553532693,4662905.9960007,2.65843990076171e-05
2014,30-34,1,2,1,33.3583687271004,101333.551193846,0.000329193720481456
2014,30-34,1,2,2,92.6621353530567,3362727.74521341,2.7555646003443e-05
2014,30-34,2,1,1,42.5716392075406,177984.68158057,0.000239187096493297
2014,30-34,2,1,2,166.416407811295,4764062.95763664,3.49316138957683e-05
2014,30-34,2,2,1,21.7950637594504,81526.2240798472,0.000267338074410318
2014,30-34,2,2,2,84.2742465365416,3631932.13670294,2.32036952686692e-05
2014,35-39,1,1,1,159.419349259174,280470.528143062,0.000568399647245138
2014,35-39,1,1,2,205.532384168853,4113708.26337264,4.99628002303561e-05
2014,35-39,1,2,1,63.190551726758,115194.534156638,0.000548555121902167
2014,35-39,1,2,2,166.358799443914,3018371.67432766,5.51154123459531e-05
2014,35-39,2,1,1,114.539259080933,212901.114102269,0.000537992765157223
2014,35-39,2,1,2,217.624592253772,4258107.61519808,5.11082884511947e-05
2014,35-39,2,2,1,43.0235610069503,96477.3262799144,0.000445944789992665
2014,35-39,2,2,2,156.909457790054,3346516.94441974,4.68873937876508e-05
2014,40-44,1,1,1,268.501661631109,372954.729610014,0.000719930973691827
2014,40-44,1,1,2,337.544946050537,3282583.99159595,0.000102829035575241
2014,40-44,1,2,1,107.428294064986,150241.4160171,0.000715037816554913
2014,40-44,1,2,2,243.331557641173,2819082.86277694,8.63158585560266e-05
2014,40-44,2,1,1,213.349727722574,304678.628738584,0.000700245135688953
2014,40-44,2,1,2,328.809580372437,3449131.56441623,9.53311215393109e-05
2014,40-44,2,2,1,102.785510887578,137330.817127871,0.000748451899123795
2014,40-44,2,2,2,291.225614181471,3152338.98971731,9.23839774629018e-05
2014,45-49,1,1,1,475.480109669473,363444.163175379,0.00130826178501602
2014,45-49,1,1,2,511.240452179433,2902866.95427135,0.000176115702246423
2014,45-49,1,2,1,242.516202158444,146760.455417942,0.00165246286179619
2014,45-49,1,2,2,444.173696344542,2754859.42713533,0.000161232799020319
2014,45-49,2,1,1,377.134872476299,326343.449636029,0.00115563794185824
2014,45-49,2,1,2,493.276753619519,3055489.30953686,0.000161439528549451
2014,45-49,2,2,1,185.176674046419,145458.838432688,0.00127305206092452
2014,45-49,2,2,2,444.684829928373,3088988.40239442,0.000143958076884872
2014,50-54,1,1,1,677.763850165846,371665.771964055,0.00182358425577966
2014,50-54,1,1,2,765.259376102477,2449359.10060375,0.000312432495469466
2014,50-54,1,2,1,361.924450523947,157169.484992604,0.00230276539075621
2014,50-54,1,2,2,712.173918772927,2463000.64243959,0.000289148896878696
2014,50-54,2,1,1,617.169383591384,379427.886920252,0.00162657887010055
2014,50-54,2,1,2,540.189116390738,2629469.02464882,0.00020543657724315
2014,50-54,2,2,1,310.173025290891,175034.721965599,0.00177206568963986
2014,50-54,2,2,2,565.838657016019,2794806.36646533,0.000202460772884116
2014,55-59,1,1,1,1051.96515134013,381066.3014979,0.00276058299357633
2014,55-59,1,1,2,859.981511220558,1888895.1504982,0.000455282820220982
2014,55-59,1,2,1,581.918579685821,171421.626732974,0.00339466256840676
2014,55-59,1,2,2,981.063656283254,2069171.92127092,0.000474133466725504
2014,55-59,2,1,1,848.296841550168,429950.24208507,0.00197301166161996
2014,55-59,2,1,2,664.564345914878,2054263.12252737,0.000323504977832275
2014,55-59,2,2,1,508.167601587698,213124.791845208,0.00238436644178299
2014,55-59,2,2,2,630.453922825379,2371811.84354235,0.000265811103246615
2014,60-64,1,1,1,1531.45604027559,393156.027802856,0.00389528821123282
2014,60-64,1,1,2,858.760396416217,1355762.08234961,0.000633415263338782
2014,60-64,1,2,1,1001.99134700225,184038.074630748,0.0054444785352848
2014,60-64,1,2,2,1151.62205482125,1616006.81521678,0.000712634404742139
2014,60-64,2,1,1,1149.99949372111,447470.171261211,0.00257000257800378
2014,60-64,2,1,2,552.934293820758,1506864.87670373,0.000366943514557391
2014,60-64,2,2,1,715.218772028895,243930.592591798,0.00293205851889913
2014,60-64,2,2,2,747.423744878227,1900707.35944326,0.000393234519330296
2014,65-69,1,1,1,1916.61497591856,364536.595176457,0.00525767509018074
2014,65-69,1,1,2,849.133217179107,937540.407133748,0.000905703061668649
2014,65-69,1,2,1,1457.68399897111,180206.828692647,0.00808894984472137
2014,65-69,1,2,2,1419.32389373503,1179623.16899715,0.00120320109933214
2014,65-69,2,1,1,1469.09907947344,429843.372239771,0.00341775440625838
2014,65-69,2,1,2,505.862840924841,1037079.32345973,0.000487776421226169
2014,65-69,2,2,1,1131.29777226115,255938.948793222,0.00442018605450764
2014,65-69,2,2,2,897.469200455676,1434535.35550728,0.000625616647934278
2014,70-74,1,1,1,2439.04575200626,278325.081454542,0.00876329843957891
2014,70-74,1,1,2,794.597429456192,608553.701932131,0.00130571456049545
2014,70-74,1,2,1,1931.32689788213,158047.243041594,0.012219934120419
2014,70-74,1,2,2,1564.70213082654,814591.973571733,0.00192084157663107
2014,70-74,2,1,1,1991.41125753539,342177.742610274,0.00581981528764577
2014,70-74,2,1,2,503.498910344172,678414.111512972,0.000742170455772639
2014,70-74,2,2,1,1806.7930408255,235904.225980379,0.00765901091138474
2014,70-74,2,2,2,1036.26858808617,1059932.91989637,0.000977673745794668
2014,75-79,1,1,1,2590.28020056085,215607.993363782,0.0120138412317137
2014,75-79,1,1,2,794.14732250974,369292.503134486,0.00215045611749268
2014,75-79,1,2,1,2351.81230255416,139018.393316855,0.0169172743724194
2014,75-79,1,2,2,1708.03469835694,564354.110184878,0.00302653009437177
2014,75-79,2,1,1,2426.59370553955,277831.237206732,0.00873405643633204
2014,75-79,2,1,2,540.10860433625,423579.424178508,0.00127510585620097
2014,75-79,2,2,1,2550.89674591356,224776.703245507,0.011348581543735
2014,75-79,2,2,2,1403.66098426972,809115.635369253,0.00173480887392459
2014,80+,1,1,1,5411.91225245177,264999.385924849,0.0204223577106195
2014,80+,1,1,2,1189.55928246907,325797.67466174,0.00365122091096608
2014,80+,1,2,1,5560.96349447512,179908.764851725,0.0309099086920989
2014,80+,1,2,2,3199.51303037749,550853.174561687,0.00580828645114615
2014,80+,2,1,1,6998.12906838659,395037.015808962,0.0177151223513972
2014,80+,2,1,2,1113.83166393828,407172.38754331,0.00273552848379191
2014,80+,2,2,1,9217.9236072693,355431.991422436,0.0259344229830839
2014,80+,2,2,2,4288.05128263659,976868.605225291,0.00438958858919175
2015,00-04,1,1,1,22.1837936897098,4130092.28345848,5.3712585983995e-06
2015,00-04,1,1,2,0,0,0
2015,00-04,1,2,1,18.8562246362533,3377133.71654152,5.58349956470297e-06
2015,00-04,1,2,2,0,0,0
2015,00-04,2,1,1,14.1329659593506,3897897.21788322,3.62579236171487e-06
2015,00-04,2,1,2,0,0,0
2015,00-04,2,2,1,10.8715122764235,3272035.78211678,3.32255299157835e-06
2015,00-04,2,2,2,0,0,0
2015,05-09,1,1,1,16.6562415840006,4457875.63849165,3.73636299769824e-06
2015,05-09,1,1,2,0,86414.2830289301,0
2015,05-09,1,2,1,9.36913589100036,2972158.18388911,3.15230055445458e-06
2015,05-09,1,2,2,0,58511.8945903092,0
2015,05-09,2,1,1,15.6549776780499,4216458.38562963,3.71282632158889e-06
2015,05-09,2,1,2,0,80810.8556409001,0
2015,05-09,2,2,1,8.34932142829328,2893309.17786503,2.88573426309533e-06
2015,05-09,2,2,2,0,58732.5808644415,0
2015,10-14,1,1,1,36.1602600494004,1464039.98075365,2.46989566711054e-05
2015,10-14,1,1,2,0,3640502.85543996,0
2015,10-14,1,2,1,14.8895188438708,688638.154992703,2.16216872909526e-05
2015,10-14,1,2,2,0,2286954.00881369,0
2015,10-14,2,1,1,21.1148927324315,1122771.73969884,1.88060422130816e-05
2015,10-14,2,1,2,0,3751435.26074161,0
2015,10-14,2,2,1,16.8919141859452,587824.725276323,2.87363111138353e-05
2015,10-14,2,2,2,0,2298693.27428322,0
2015,15-19,1,1,1,7.76380321010045,241196.508022985,3.21887048603564e-05
2015,15-19,1,1,2,34.382557073302,5266215.4213942,6.52889301368522e-06
2015,15-19,1,2,1,6.53995245776934,103245.143574182,6.33439233204261e-05
2015,15-19,1,2,2,31.3917717972928,3184788.92700863,9.85678251110291e-06
2015,15-19,2,1,1,4.35084357461604,148687.716358607,2.92616208061373e-05
2015,15-19,2,1,2,35.8944594905823,5068009.66891004,7.08255544790664e-06
2015,15-19,2,2,1,6.1915850869536,79568.780749112,7.78142511254038e-05
2015,15-19,2,2,2,18.5747552608608,3242383.83398226,5.72873423133482e-06
2015,20-24,1,1,1,27.356376193171,146707.665613258,0.000186468621655301
2015,20-24,1,1,2,58.2809753680601,5051425.00691281,1.1537531545713e-05
2015,20-24,1,2,1,17.7415024539136,60758.5089455108,0.000292000293651453
2015,20-24,1,2,2,30.7519375867835,3319719.81852842,9.26341356133343e-06
2015,20-24,2,1,1,7.76900504457428,99614.5097835544,7.79906969522314e-05
2015,20-24,2,1,2,44.0243619192542,4939684.13849011,8.91238400775783e-06
2015,20-24,2,2,1,9.42246675960029,49560.8224612638,0.000190119257342123
2015,20-24,2,2,2,31.800825313651,3433298.52926507,9.2624701996008e-06
2015,25-29,1,1,1,31.6886537745796,163075.290866205,0.000194319161451495
2015,25-29,1,1,2,82.3904998139069,4949166.8308871,1.66473474484066e-05
2015,25-29,1,2,1,10.2437048267316,68271.9019216175,0.000150042763397632
2015,25-29,1,2,2,67.864544477097,3449751.97632508,1.96722967166443e-05
2015,25-29,2,1,1,11.0437980666399,113894.958695017,9.69647664231789e-05
2015,25-29,2,1,2,68.7169657479816,4938233.65554455,1.39152924995413e-05
2015,25-29,2,2,1,7.21520067402004,54885.55615914,0.000131459006320345
2015,25-29,2,2,2,62.0507257965723,3594570.8296013,1.72623461153094e-05
2015,30-34,1,1,1,78.2439628010501,223128.031198734,0.000350668458735068
2015,30-34,1,1,2,123.333704076231,4826583.53583372,2.55530031046955e-05
2015,30-34,1,2,1,23.6223828371814,91790.3062272811,0.000257351607245871
