year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2014,30-34,1,2,1,6.09726601076274,101333.551193846,6.01702589017033e-05
2014,30-34,1,2,2,26.8279704473561,3362727.74521341,7.9780382118486e-06
2014,30-34,2,1,1,3.72963400236128,177984.68158057,2.09548033529669e-05
2014,30-34,2,1,2,37.2963400236128,4764062.95763664,7.82868328048182e-06
2014,30-34,2,2,1,3.63400236127509,81526.2240798472,4.45746433407235e-05
2014,30-34,2,2,2,36.3400236127509,3631932.13670294,1.00057000640271e-05
2014,35-39,1,1,1,25.6745257920958,280470.528143062,9.15409043584062e-05
2014,35-39,1,1,2,63.5750162470942,4113708.26337264,1.5454429963629e-05
2014,35-39,1,2,1,8.57495599984374,115194.534156638,7.44389138132523e-05
2014,35-39,1,2,2,50.2247422847991,3018371.67432766,1.66396811605339e-05
2014,35-39,2,1,1,29.551912568306,212901.114102269,0.000138805814581649
2014,35-39,2,1,2,38.6448087431694,4258107.61519808,9.07558291980173e-06
2014,35-39,2,2,1,11.9606557377049,96477.3262799144,0.000123973748018295
2014,35-39,2,2,2,47.8426229508197,3346516.94441974,1.42962440487853e-05
2014,40-44,1,1,1,56.4381751369728,372954.729610014,0.00015132714685235
2014,40-44,1,1,2,78.5226784514405,3282583.99159595,2.39209959752663e-05
2014,40-44,1,2,1,26.5233240799065,150241.4160171,0.000176538033140527
2014,40-44,1,2,2,85.5980004396984,2819082.86277694,3.03637759534958e-05
2014,40-44,2,1,1,34.213964883626,304678.628738584,0.000112295256891752
2014,40-44,2,1,2,62.3182931808902,3449131.56441623,1.80678214260689e-05
2014,40-44,2,2,1,17.0335314091681,137330.817127871,0.000124032841028739
2014,40-44,2,2,2,75.4342105263158,3152338.98971731,2.39295998217122e-05
2014,45-49,1,1,1,117.831582568629,363444.163175379,0.000324208212725568
2014,45-49,1,1,2,125.352747413435,2902866.95427135,4.31823949867865e-05
2014,45-49,1,2,1,62.6717063171863,146760.455417942,0.000427034013615662
2014,45-49,1,2,2,114.283699754869,2754859.42713533,4.1484403388854e-05
2014,45-49,2,1,1,60.8110105034408,326343.449636029,0.000186340527353202
2014,45-49,2,1,2,78.547555233611,3055489.30953686,2.57070299635631e-05
2014,45-49,2,2,1,24.4565474366271,145458.838432688,0.000168133801288016
2014,45-49,2,2,2,99.1848868263211,3088988.40239442,3.21091807108885e-05
2014,50-54,1,1,1,180.394299508035,371665.771964055,0.000485366996682926
2014,50-54,1,1,2,167.779313528452,2449359.10060375,6.84992712939053e-05
2014,50-54,1,2,1,119.009339051489,157169.484992604,0.00075720384944373
2014,50-54,1,2,2,194.036965844818,2463000.64243959,7.87807207604402e-05
2014,50-54,2,1,1,79.2195897598982,379427.886920252,0.000208786946059525
2014,50-54,2,1,2,100.502464620766,2629469.02464882,3.82215814974998e-05
2014,50-54,2,2,1,40.5191540785499,175034.721965599,0.000231492092674694
2014,50-54,2,2,2,117.758791540786,2794806.36646533,4.21348659262282e-05
