age,sex,race3,educ,year,pop
27,1,2,2,2000,605426.490965585
27,2,1,1,2000,145401.990538501
27,2,1,2,2000,496486.592485773
27,2,2,1,2000,86433.3868487252
27,2,2,2,2000,686909.030127001
28,1,1,1,2000,191006.431700331
28,1,1,2,2000,450597.158268227
28,1,2,1,2000,101330.897268789
28,1,2,2,2000,603909.512762654
28,2,1,1,2000,146004.890923848
28,2,1,2,2000,478505.81500703
28,2,2,1,2000,87934.420930224
28,2,2,2,2000,683682.873138899
29,1,1,1,2000,182324.401886481
29,1,1,2,2000,445081.749548583
29,1,2,1,2000,100997.800955272
29,1,2,2,2000,605037.047609664
29,2,1,1,2000,147577.368744153
29,2,1,2,2000,467198.0543096
29,2,2,1,2000,88723.9875603327
29,2,2,2,2000,683071.589385914
30,1,1,1,2000,205298.395180731
30,1,1,2,2000,428608.809885151
30,1,2,1,2000,108624.510276624
30,1,2,2,2000,579967.284657495
30,2,1,1,2000,163606.643294216
30,2,1,2,2000,457011.942217572
30,2,2,1,2000,100735.876664059
30,2,2,2,2000,656255.537824152
31,1,1,1,2000,192648.211601145
31,1,1,2,2000,420768.148301723
31,1,2,1,2000,104624.746226757
31,1,2,2,2000,598304.893870375
31,2,1,1,2000,152310.733128089
31,2,1,2,2000,454435.320785074
31,2,2,1,2000,97617.0260792933
31,2,2,2,2000,666813.920007543
32,1,1,1,2000,196966.867362746
32,1,1,2,2000,414735.714817126
32,1,2,1,2000,112258.778158337
32,1,2,2,2000,582608.639661791
32,2,1,1,2000,162673.632504186
32,2,1,2,2000,435941.48320139
32,2,2,1,2000,102927.358745231
32,2,2,2,2000,661212.525549194
33,1,1,1,2000,199393.439272469
33,1,1,2,2000,402715.425645201
33,1,2,1,2000,110344.987378395
33,1,2,2,2000,577364.147703934
33,2,1,1,2000,167976.83788548
33,2,1,2,2000,423688.321680882
33,2,2,1,2000,106380.497676753
33,2,2,2,2000,651930.342756884
34,1,1,1,2000,197434.13037632
34,1,1,2,2000,380326.916826099
34,1,2,1,2000,112950.522463458
34,1,2,2,2000,577456.430334123
34,2,1,1,2000,172783.121333225
34,2,1,2,2000,405536.105467473
34,2,2,1,2000,111196.139964484
34,2,2,2,2000,644414.633234818
35,1,1,1,2000,190562.876645094
35,1,1,2,2000,371542.053701735
35,1,2,1,2000,110420.887426688
