age,sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
28,men,1700323,1719292,1727971,1729241,1729570,1728639,1724679,1717965,1709734,1699899,1686221,1681239,1690866,1708225,1723512,1741184,1742411,1718490,1678411,1647835,1584905,1559899,1545563,1540929,1522837,1485184,1474231,1464887,1444018,1448679,1454415,1451079,1471197,1501978,1471737,1460749,1487489,1479449,1470565,1460784,1449396,1436625,1423364,1409645,1395760,1381807,1367733,1353971,1340903,1327953,1314875
29,men,1669059,1695572,1714608,1723377,1724750,1725196,1724407,1720794,1714439,1706290,1696443,1682752,1677732,1687293,1704626,1719951,1737651,1738938,1715126,1675182,1644727,1581961,1557039,1542782,1538201,1520173,1482629,1471733,1462452,1441667,1446368,1452140,1448854,1468972,1499732,1469569,1458621,1485343,1477340,1468495,1458750,1447398,1434662,1421441,1407757,1393905,1379992,1365953,1352223,1339189,1326276
30,men,1637166,1664211,1690779,1709881,1718743,1720232,1720815,1720328,1717070,1710811,1702660,1692817,1679126,1674083,1683638,1701006,1716362,1734089,1735439,1711734,1671931,1641598,1578990,1554150,1539973,1535445,1517479,1480046,1469209,1459994,1439288,1444022,1449835,1446591,1466718,1497455,1467367,1456464,1483170,1475201,1466387,1456681,1445365,1432668,1419482,1405837,1392019,1378140,1364137,1350446,1337437
31,men,1604658,1632231,1659326,1685942,1705113,1714081,1715709,1716584,1716407,1713242,1707001,1698864,1689029,1675350,1670344,1679954,1697359,1712749,1730504,1731912,1708314,1668651,1638448,1576004,1551240,1537139,1532670,1514767,1477437,1466656,1457513,1436891,1441655,1447507,1444306,1464432,1495150,1465142,1454272,1480959,1473031,1464249,1454582,1443301,1430649,1417493,1403889,1390098,1376262,1362291,1348637
32,men,1568187,1599819,1627436,1654581,1681244,1700495,1709575,1711496,1712674,1712585,1709434,1703203,1695078,1685250,1671627,1666703,1676355,1693794,1709218,1727000,1728466,1704971,1665443,1635360,1573076,1548396,1534362,1529941,1512107,1474878,1464150,1455067,1434533,1439326,1445215,1442058,1462179,1492879,1462953,1452122,1478781,1470888,1462146,1452511,1441259,1428650,1415527,1401965,1388204,1374404,1360469
33,men,1527225,1563468,1595120,1622788,1649974,1676695,1696038,1705388,1707608,1708864,1708781,1705637,1699421,1691299,1681517,1667990,1663147,1672840,1690309,1705766,1723568,1725096,1701700,1662300,1632337,1570200,1545600,1531634,1527263,1509492,1472359,1461693,1452666,1432214,1437036,1442957,1439839,1459960,1490637,1460785,1449995,1476633,1468772,1460063,1450467,1439249,1426669,1413584,1400060,1386332,1372566
34,men,1484051,1522634,1558890,1590561,1618274,1645505,1672302,1691890,1701521,1703818,1705068,1704993,1701845,1695633,1687567,1677874,1664441,1659669,1669402,1686900,1702386,1720203,1721784,1698488,1659212,1629365,1567377,1542852,1528957,1524629,1506919,1469879,1459271,1450298,1429922,1434775,1440727,1437654,1457773,1488425,1458649,1447892,1474508,1466681,1458003,1448435,1437258,1424707,1411655,1398173,1384474
35,men,1440360,1479208,1517790,1554056,1585746,1613511,1640802,1667767,1687604,1697316,1699632,1700899,1700844,1697722,1691556,1683591,1673997,1660652,1655959,1665733,1683253,1698768,1716612,1718245,1695047,1655906,1626178,1564347,1539895,1526072,1521790,1504149,1467206,1456658,1447742,1427446,1432330,1438310,1435282,1455399,1486022,1456322,1445602,1472194,1464399,1455760,1446225,1435084,1422567,1409548,1396107
36,men,1394472,1435273,1474118,1512692,1548969,1580689,1608510,1635964,1663104,1682988,1692721,1695071,1696370,1696356,1693305,1687247,1679380,1669885,1656641,1652026,1661841,1679384,1694927,1712793,1714480,1691382,1652382,1622775,1561107,1536741,1522996,1518759,1501188,1464344,1453853,1445002,1424788,1429704,1435711,1432721,1452840,1483432,1453812,1443130,1469697,1461940,1453332,1443828,1432724,1420255,1407268
37,men,1358332,1389557,1430338,1469178,1507745,1544030,1575793,1603777,1631393,1658559,1678439,1688185,1690568,1691898,1691952,1688993,1683035,1675269,1665865,1652715,1648170,1658027,1675592,1691160,1709037,1710776,1687783,1648917,1619437,1557928,1533643,1519965,1515776,1498267,1461531,1451095,1442303,1422166,1427109,1433149,1430194,1450308,1480872,1451332,1440691,1467223,1459506,1450931,1441464,1430387,1417959
