year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2006,35-39,1,2,1,52.9140714492746,2669699.50165102,1.98202349802107e-05
2006,35-39,1,2,2,7.15055019584792,633516.551190287,1.12870771606725e-05
2006,35-39,2,1,1,46.7653946192096,2958774.65610741,1.5805662835011e-05
2006,35-39,2,1,2,2.9228371637006,297416.30425773,9.82742748752529e-06
2006,35-39,2,2,1,65.7974720077663,2810421.18131171,2.34119613264004e-05
2006,35-39,2,2,2,12.5995159163808,817237.858323146,1.54171956035336e-05
2006,40-44,1,1,1,130.201731255832,2745318.70438197,4.74268182590273e-05
2006,40-44,1,1,2,5.91826051162874,186046.938993494,3.18105771782449e-05
2006,40-44,1,2,1,117.119992916581,2532513.75818914,4.62465376694842e-05
2006,40-44,1,2,2,17.8933322511443,571645.598435392,3.13014432370665e-05
2006,40-44,2,1,1,71.663064631773,2720042.34536098,2.63463047749952e-05
2006,40-44,2,1,2,10.2375806616819,248369.915799613,4.12190849633401e-05
2006,40-44,2,2,1,74.7163781624501,2740674.36023617,2.72620415057306e-05
2006,40-44,2,2,2,11.4948274096077,727525.378603233,1.57998988731864e-05
2006,45-49,1,1,1,195.49259758924,2286328.75010779,8.55050252856348e-05
2006,45-49,1,1,2,15.3931179204126,155960.769536754,9.86986532968155e-05
2006,45-49,1,2,1,243.703556890555,2247146.23115641,0.000108450243918991
2006,45-49,1,2,2,31.649812583189,521646.249199046,6.06729419252706e-05
2006,45-49,2,1,1,96.5923199719143,2296434.05680914,4.20618740109297e-05
2006,45-49,2,1,2,9.79922086671594,198634.189646163,4.93330019578794e-05
2006,45-49,2,2,1,105.197350074115,2484110.52926373,4.23480955596991e-05
2006,45-49,2,2,2,18.5642382483732,630705.22428097,2.94340962048273e-05
2006,50-54,1,1,1,270.661623664507,1847277.6288359,0.000146519190964852
2006,50-54,1,1,2,8.6843301710537,115023.817304121,7.55002778954244e-05
2006,50-54,1,2,1,364.695396577104,1896278.98609331,0.000192321593632404
2006,50-54,1,2,2,33.2916959530966,423345.567766671,7.86395287630493e-05
2006,50-54,2,1,1,115.695003677559,1918739.75143407,6.02973923853341e-05
2006,50-54,2,1,2,4.18174712087561,138947.367154789,3.0095907583604e-05
2006,50-54,2,2,1,140.114622955011,2147374.34397941,6.52492767960324e-05
