age,sex,race3,educ,year,pop
19,2,1,1,2000,676557.311557306
19,2,1,2,2000,11365.1338966626
19,2,2,0,2000,67445.2357618531
19,2,2,1,2000,799052.733019181
19,2,2,2,2000,74776.9408389853
20,1,0,0,2000,3432.03259903228
20,1,0,1,2000,9544.40105755047
20,1,0,2,2000,2113.34498272119
20,1,1,0,2000,211949.823579015
20,1,1,1,2000,630824.557424835
20,1,1,2,2000,12559.392750485
20,1,2,0,2000,93232.1193779593
20,1,2,1,2000,700653.703972936
20,1,2,2,2000,80861.6242554667
20,2,0,0,2000,3219.70633022934
20,2,0,1,2000,8829.44955104643
20,2,0,2,2000,2311.66914261863
20,2,1,0,2000,137608.153497621
20,2,1,1,2000,637728.36428656
20,2,1,2,2000,18804.9401968848
20,2,2,0,2000,71938.1935766311
20,2,2,1,2000,742471.793565236
20,2,2,2,2000,115498.729853173
21,1,0,0,2000,2744.51420637509
21,1,0,1,2000,8037.82834102691
21,1,0,2,2000,2477.5218519828
21,1,1,0,2000,202500.910253062
21,1,1,1,2000,596099.199933628
21,1,1,2,2000,17697.8102691137
21,1,2,0,2000,95799.8871975513
21,1,2,1,2000,665724.264385211
21,1,2,2,2000,102285.063562049
21,2,0,0,2000,2532.00906734866
21,2,0,1,2000,7658.04408625489
21,2,0,2,2000,3269.52553157415
21,2,1,0,2000,136724.722793852
21,2,1,1,2000,602740.601352587
21,2,1,2,2000,24936.113349408
21,2,2,0,2000,74985.6014005747
21,2,2,1,2000,706307.448196055
21,2,2,2,2000,137237.934222345
22,1,0,0,2000,2453.70674858733
22,1,0,1,2000,7286.26567047359
22,1,0,2,2000,2547.7894668002
22,1,1,0,2000,216053.59797694
22,1,1,1,2000,568655.328344778
22,1,1,2,2000,19476.1012271805
22,1,2,0,2000,98793.6939351103
22,1,2,1,2000,617557.973703947
22,1,2,2,2000,104783.542926182
22,2,0,0,2000,2552.36834951429
22,2,0,1,2000,6524.92075697264
22,2,0,2,2000,2844.55247614295
22,2,1,0,2000,143580.228415733
22,2,1,1,2000,582090.732376788
22,2,1,2,2000,26697.792638975
22,2,2,0,2000,80047.8577648326
22,2,2,1,2000,662493.042017575
22,2,2,2,2000,142629.505203467
23,1,0,0,2000,2763.36072747577
23,1,0,1,2000,6912.18778207215
23,1,0,2,2000,2455.77315398679
23,1,1,0,2000,210183.495534271
